date,home_team,away_team,home_goals,away_goals,tournament
2022-10-20,Egypt,Portugal,0,3,Nations League
2022-10-21,Switzerland,Italy,1,1,Continental Cup
2022-10-22,Saudi Arabia,Uruguay,0,1,Friendly
2022-10-23,Portugal,Iran,2,1,WC Qualifier
2022-10-24,New Zealand,Uruguay,3,4,Continental Cup
2022-10-25,South Korea,Denmark,0,1,Friendly
2022-10-26,Colombia,Uruguay,2,0,WC Qualifier
2022-10-27,Nigeria,Uzbekistan,1,0,Friendly
2022-10-27,Curacao,Chile,3,2,Friendly
2022-10-28,Spain,Qatar,3,3,Friendly
2022-10-29,Canada,Australia,3,2,WC Qualifier
2022-10-30,Iran,Costa Rica,1,2,WC Qualifier
2022-10-31,Japan,Wales,2,2,Friendly
2022-11-01,Qatar,Saudi Arabia,0,0,Continental Cup
2022-11-02,Brazil,Uruguay,3,2,Continental Cup
2022-11-03,Austria,Qatar,4,3,Continental Cup
2022-11-04,Netherlands,Algeria,2,1,WC Qualifier
2022-11-05,Ecuador,Colombia,1,2,WC Qualifier
2022-11-06,Croatia,England,1,2,Friendly
2022-11-06,Scotland,Jamaica,2,1,Friendly
2022-11-07,Qatar,England,2,3,WC Qualifier
2022-11-08,Qatar,Algeria,1,0,Friendly
2022-11-09,South Korea,New Zealand,4,0,WC Qualifier
2022-11-10,Serbia,Denmark,0,3,Friendly
2022-11-11,New Zealand,Jordan,3,2,Nations League
2022-11-12,Costa Rica,Canada,2,1,Friendly
2022-11-13,Jamaica,Poland,3,2,Continental Cup
2022-11-14,Peru,Portugal,5,4,Nations League
2022-11-15,Iran,Ukraine,1,2,WC Qualifier
2022-11-15,Egypt,Belgium,0,3,Nations League
2022-11-16,Colombia,Panama,2,1,Friendly
2022-11-17,Tunisia,Jamaica,3,2,Friendly
2022-11-18,Germany,Italy,1,0,WC Qualifier
2022-11-19,New Zealand,Serbia,3,4,Continental Cup
2022-11-20,Switzerland,Saudi Arabia,3,0,WC Qualifier
2022-11-21,Croatia,Nigeria,1,2,WC Qualifier
2022-11-22,Croatia,Jamaica,3,2,WC Qualifier
2022-11-23,Morocco,Nigeria,1,0,WC Qualifier
2022-11-24,Argentina,Egypt,1,1,Continental Cup
2022-11-24,Costa Rica,Senegal,1,0,Continental Cup
2022-11-25,Scotland,Canada,1,2,WC Qualifier
2022-11-26,Tunisia,Senegal,0,0,Continental Cup
2022-11-27,Iran,Nigeria,2,2,Continental Cup
2022-11-28,Canada,Senegal,2,2,Friendly
2022-11-29,Turkey,Egypt,0,0,Friendly
2022-11-30,Poland,Ukraine,1,0,Friendly
2022-12-01,France,Senegal,1,0,Continental Cup
2022-12-02,Switzerland,Turkey,4,3,Continental Cup
2022-12-03,Curacao,Senegal,2,3,Continental Cup
2022-12-04,Italy,Panama,1,0,WC Qualifier
2022-12-04,Japan,Costa Rica,3,0,Continental Cup
2022-12-05,Poland,Algeria,2,1,Friendly
2022-12-06,Scotland,Egypt,3,4,WC Qualifier
2022-12-07,Ecuador,Italy,0,0,WC Qualifier
2022-12-08,Switzerland,Panama,1,0,Continental Cup
2022-12-09,Croatia,Senegal,2,1,WC Qualifier
2022-12-10,Algeria,Ecuador,1,1,Friendly
2022-12-11,Cape Verde,Turkey,3,1,WC Qualifier
2022-12-12,Germany,Senegal,0,2,Friendly
2022-12-13,Jamaica,Serbia,1,2,Nations League
2022-12-13,Portugal,Argentina,2,0,Continental Cup
2022-12-14,Turkey,Italy,2,1,Continental Cup
2022-12-15,Chile,Switzerland,2,3,Friendly
2022-12-16,Egypt,Senegal,0,1,Friendly
2022-12-17,Morocco,Serbia,3,2,Friendly
2022-12-18,Ukraine,Argentina,0,3,Friendly
2022-12-19,Wales,Portugal,0,0,Continental Cup
2022-12-20,Saudi Arabia,Colombia,0,1,WC Qualifier
2022-12-21,Scotland,Curacao,2,1,WC Qualifier
2022-12-22,Switzerland,Costa Rica,4,1,Continental Cup
2022-12-22,Croatia,Italy,2,2,WC Qualifier
2022-12-23,Argentina,New Zealand,2,1,WC Qualifier
2022-12-24,Tunisia,Peru,0,1,Continental Cup
2022-12-25,Denmark,Qatar,1,0,Nations League
2022-12-26,England,Netherlands,1,2,Continental Cup
2022-12-27,Iran,Morocco,0,0,WC Qualifier
2022-12-28,Egypt,Ukraine,1,2,Friendly
2022-12-29,Tunisia,Argentina,1,2,WC Qualifier
2022-12-30,Qatar,Uzbekistan,3,3,Friendly
2022-12-31,Croatia,Ukraine,7,1,Friendly
2023-01-01,Jamaica,Colombia,1,1,Nations League
2023-01-01,Uzbekistan,South Korea,3,2,Continental Cup
2023-01-02,Germany,Ecuador,2,0,Friendly
2023-01-03,Denmark,England,3,4,WC Qualifier
2023-01-04,Tunisia,Colombia,0,0,Friendly
2023-01-05,Ukraine,Jamaica,0,0,Friendly
2023-01-06,Belgium,Argentina,6,5,Friendly
2023-01-07,Denmark,Argentina,0,0,Friendly
2023-01-08,Morocco,Argentina,0,0,Continental Cup
2023-01-09,Jordan,Australia,4,3,Continental Cup
2023-01-10,Colombia,Turkey,6,0,Nations League
2023-01-10,Saudi Arabia,Germany,1,1,Continental Cup
2023-01-11,Belgium,Brazil,0,0,WC Qualifier
2023-01-12,Portugal,Senegal,2,1,WC Qualifier
2023-01-13,Portugal,Austria,1,1,Friendly
2023-01-14,New Zealand,Italy,1,2,Nations League
2023-01-15,Poland,Netherlands,2,2,Continental Cup
2023-01-16,Ukraine,Wales,1,1,Continental Cup
2023-01-17,Portugal,Italy,1,2,Nations League
2023-01-18,Japan,Senegal,2,1,WC Qualifier
2023-01-19,Chile,Denmark,2,1,Friendly
2023-01-19,Belgium,Austria,2,1,Friendly
2023-01-20,Nigeria,Cape Verde,2,1,WC Qualifier
2023-01-21,Peru,Switzerland,2,3,WC Qualifier
2023-01-22,Scotland,Wales,4,3,WC Qualifier
2023-01-23,Morocco,Switzerland,3,2,WC Qualifier
2023-01-24,Uruguay,Jamaica,2,1,Continental Cup
2023-01-25,South Korea,Portugal,2,2,WC Qualifier
2023-01-26,Jordan,Australia,1,2,Continental Cup
2023-01-27,Serbia,Wales,2,2,Nations League
2023-01-28,Australia,Spain,1,2,Nations League
2023-01-28,Ecuador,Ukraine,3,2,Friendly
2023-01-29,Colombia,Denmark,0,2,WC Qualifier
2023-01-30,Netherlands,Cape Verde,1,1,Continental Cup
2023-01-31,Senegal,Ecuador,1,2,Friendly
2023-02-01,Nigeria,Mexico,2,3,WC Qualifier
2023-02-02,United States,Denmark,2,2,Friendly
2023-02-03,Qatar,Wales,0,0,Continental Cup
2023-02-04,South Korea,Switzerland,0,0,Friendly
2023-02-05,Canada,Chile,3,2,Continental Cup
2023-02-06,Scotland,Curacao,3,2,Continental Cup
2023-02-07,Belgium,Colombia,3,2,Nations League
2023-02-07,Denmark,Jordan,1,1,Nations League
2023-02-08,Serbia,Spain,1,0,Friendly
2023-02-09,Netherlands,Saudi Arabia,2,1,Friendly
2023-02-10,France,Canada,3,2,Friendly
2023-02-11,Canada,New Zealand,2,3,Continental Cup
2023-02-12,Iran,Cape Verde,1,2,Friendly
2023-02-13,Uruguay,Poland,1,0,Continental Cup
2023-02-14,Netherlands,England,2,1,Friendly
2023-02-15,Egypt,Iran,2,1,Friendly
2023-02-16,Poland,Portugal,1,0,WC Qualifier
2023-02-16,Portugal,Chile,2,0,WC Qualifier
2023-02-17,Panama,Mexico,1,1,WC Qualifier
2023-02-18,Belgium,Spain,4,1,Nations League
2023-02-19,Serbia,Chile,3,1,Nations League
2023-02-20,Brazil,Qatar,5,0,WC Qualifier
2023-02-21,Poland,Uzbekistan,1,0,Nations League
2023-02-22,Jordan,Turkey,2,1,Friendly
2023-02-23,South Korea,Morocco,1,2,Nations League
2023-02-24,Senegal,Uzbekistan,2,1,WC Qualifier
2023-02-25,Uruguay,Wales,1,2,Friendly
2023-02-25,Netherlands,Uruguay,2,0,WC Qualifier
2023-02-26,Colombia,Canada,2,1,Continental Cup
2023-02-27,Portugal,Switzerland,1,0,Friendly
2023-02-28,Iran,England,0,3,Nations League
2023-03-01,Serbia,Algeria,3,1,Continental Cup
2023-03-02,Belgium,Costa Rica,1,0,Friendly
2023-03-03,Curacao,South Korea,2,3,WC Qualifier
2023-03-04,Costa Rica,Argentina,1,2,Nations League
2023-03-05,Morocco,Uruguay,1,1,WC Qualifier
2023-03-06,Ecuador,Belgium,2,2,Friendly
2023-03-07,Portugal,Wales,0,0,WC Qualifier
2023-03-07,Wales,Austria,1,2,Friendly
2023-03-08,Chile,Netherlands,0,1,WC Qualifier
2023-03-09,United States,France,2,4,Continental Cup
2023-03-10,Senegal,Ukraine,3,2,Friendly
2023-03-11,Switzerland,Spain,1,1,Nations League
2023-03-12,Mexico,Spain,0,1,Nations League
2023-03-13,Curacao,Canada,2,3,Friendly
2023-03-14,Egypt,Germany,1,2,Nations League
2023-03-15,Ecuador,Australia,2,2,Friendly
2023-03-16,Chile,Mexico,5,4,Continental Cup
2023-03-16,South Korea,Chile,6,1,WC Qualifier
2023-03-17,Croatia,England,0,1,WC Qualifier
2023-03-18,Uzbekistan,Chile,0,4,Continental Cup
2023-03-19,Egypt,Morocco,0,0,Continental Cup
2023-03-20,United States,Jordan,1,0,Friendly
2023-03-21,Ukraine,Panama,3,0,Continental Cup
2023-03-22,Uruguay,Japan,4,5,WC Qualifier
2023-03-23,Denmark,Canada,1,2,WC Qualifier
2023-03-24,Cape Verde,Mexico,3,4,WC Qualifier
2023-03-25,Peru,Australia,1,2,Continental Cup
2023-03-25,Tunisia,Algeria,1,3,Friendly
2023-03-26,Turkey,Mexico,1,2,Friendly
2023-03-27,Jamaica,New Zealand,2,1,WC Qualifier
2023-03-28,Wales,Denmark,3,4,WC Qualifier
2023-03-29,Cape Verde,Jordan,2,1,Friendly
2023-03-30,Wales,Senegal,1,0,WC Qualifier
2023-03-31,Morocco,Egypt,3,1,Friendly
2023-04-01,Panama,New Zealand,3,2,Continental Cup
2023-04-02,Cape Verde,Serbia,2,2,WC Qualifier
2023-04-03,Spain,England,2,1,WC Qualifier
2023-04-04,Jordan,Portugal,1,2,Continental Cup
2023-04-04,Turkey,Switzerland,1,2,Nations League
2023-04-05,Costa Rica,Switzerland,4,3,Continental Cup
2023-04-06,Denmark,Iran,0,1,Continental Cup
2023-04-07,South Korea,Tunisia,4,4,WC Qualifier
2023-04-08,Uzbekistan,Iran,2,3,WC Qualifier
2023-04-09,Algeria,Turkey,1,2,Friendly
2023-04-10,Netherlands,New Zealand,4,3,Continental Cup
2023-04-11,Poland,Netherlands,2,2,Continental Cup
2023-04-12,Curacao,Belgium,1,1,Friendly
2023-04-13,Canada,Argentina,3,4,Nations League
2023-04-13,Jordan,Croatia,0,2,Nations League
2023-04-14,Wales,Japan,0,1,WC Qualifier
2023-04-15,Poland,Jordan,1,0,Friendly
2023-04-16,Australia,Wales,2,1,Friendly
2023-04-17,Ukraine,Brazil,1,1,WC Qualifier
2023-04-18,Egypt,Peru,2,3,Continental Cup
2023-04-19,Jamaica,Canada,3,4,Friendly
2023-04-20,Costa Rica,Cape Verde,3,2,Friendly
2023-04-21,Iran,Senegal,3,2,Nations League
2023-04-22,Austria,Spain,0,4,Nations League
2023-04-22,Poland,Austria,1,2,Friendly
2023-04-23,Colombia,Uruguay,1,1,WC Qualifier
2023-04-24,Germany,Australia,1,2,Friendly
2023-04-25,Tunisia,Chile,2,1,Friendly
2023-04-26,England,Costa Rica,2,1,WC Qualifier
2023-04-27,Belgium,Portugal,4,3,Continental Cup
2023-04-28,Australia,Cape Verde,1,2,WC Qualifier
2023-04-29,Qatar,Spain,2,2,Nations League
2023-04-30,Portugal,Canada,2,1,WC Qualifier
2023-05-01,Netherlands,Panama,2,1,WC Qualifier
2023-05-01,Jordan,Switzerland,1,2,Continental Cup
2023-05-02,Egypt,Argentina,1,1,Nations League
2023-05-03,Panama,United States,1,1,Friendly
2023-05-04,Canada,Jordan,3,0,Nations League
2023-05-05,Peru,Australia,0,1,Friendly
2023-05-06,Costa Rica,Japan,1,2,Continental Cup
2023-05-07,Saudi Arabia,Netherlands,1,2,Friendly
2023-05-08,Tunisia,Croatia,2,2,WC Qualifier
2023-05-09,Senegal,Algeria,2,1,WC Qualifier
2023-05-10,Croatia,Cape Verde,2,0,Friendly
2023-05-11,New Zealand,Turkey,1,0,WC Qualifier
2023-05-11,United States,Argentina,1,1,Friendly
2023-05-12,Serbia,Croatia,1,0,Continental Cup
2023-05-13,Nigeria,Brazil,1,2,WC Qualifier
2023-05-14,Jamaica,Argentina,1,3,WC Qualifier
2023-05-15,Spain,Turkey,4,5,Friendly
2023-05-16,United States,Canada,6,5,Friendly
2023-05-17,Portugal,Morocco,3,2,Nations League
2023-05-18,Australia,Jordan,3,3,Friendly
2023-05-19,Denmark,Panama,2,1,WC Qualifier
2023-05-20,Tunisia,Cape Verde,0,1,WC Qualifier
2023-05-20,Brazil,Egypt,4,5,Nations League
2023-05-21,England,Cape Verde,1,0,WC Qualifier
2023-05-22,Scotland,United States,3,2,Continental Cup
2023-05-23,Chile,Ukraine,0,4,Nations League
2023-05-24,Colombia,Morocco,0,0,WC Qualifier
2023-05-25,Australia,Algeria,4,5,Friendly
2023-05-26,Qatar,Egypt,2,1,WC Qualifier
2023-05-27,Belgium,Ecuador,3,2,WC Qualifier
2023-05-28,Qatar,Wales,3,2,Friendly
2023-05-29,Qatar,Mexico,1,2,Friendly
2023-05-29,South Korea,Uzbekistan,2,2,Continental Cup
2023-05-30,Scotland,Cape Verde,3,2,Friendly
2023-05-31,Qatar,United States,1,0,WC Qualifier
2023-06-01,Italy,Qatar,3,2,WC Qualifier
2023-06-02,Poland,Wales,3,4,WC Qualifier
2023-06-03,Panama,Spain,0,1,Continental Cup
2023-06-04,Turkey,Morocco,4,3,Friendly
2023-06-05,Wales,Brazil,1,2,WC Qualifier
2023-06-06,United States,Morocco,3,2,Friendly
2023-06-07,Iran,Uzbekistan,1,1,Nations League
2023-06-08,Chile,Serbia,2,3,WC Qualifier
2023-06-08,Argentina,Croatia,1,1,Continental Cup
2023-06-09,Switzerland,South Korea,0,1,WC Qualifier
2023-06-10,Uzbekistan,Qatar,0,1,WC Qualifier
2023-06-11,Cape Verde,Jamaica,1,1,Continental Cup
2023-06-12,Panama,England,0,0,Friendly
2023-06-13,Ecuador,Chile,2,1,WC Qualifier
2023-06-14,Costa Rica,Canada,0,3,WC Qualifier
2023-06-15,Australia,Argentina,2,3,Continental Cup
2023-06-16,Wales,Curacao,1,1,Friendly
2023-06-17,Panama,Poland,1,1,Nations League
2023-06-17,Argentina,Saudi Arabia,3,0,WC Qualifier
2023-06-18,Uruguay,New Zealand,1,1,WC Qualifier
2023-06-19,Panama,Australia,2,1,Friendly
2023-06-20,Senegal,Scotland,2,0,Friendly
2023-06-21,Curacao,Ukraine,3,2,WC Qualifier
2023-06-22,Belgium,Uruguay,2,1,Friendly
2023-06-23,Australia,Netherlands,0,1,WC Qualifier
2023-06-24,Portugal,Australia,2,2,Continental Cup
2023-06-25,France,Colombia,3,2,Continental Cup
2023-06-26,Algeria,Ecuador,2,2,Friendly
2023-06-26,Brazil,Scotland,1,1,Friendly
2023-06-27,Wales,Panama,0,0,Friendly
2023-06-28,Japan,Austria,1,0,Continental Cup
2023-06-29,Netherlands,Wales,2,2,Friendly
2023-06-30,Portugal,Brazil,2,2,Continental Cup
2023-07-01,South Korea,Nigeria,0,1,Continental Cup
2023-07-02,Croatia,Argentina,1,2,WC Qualifier
2023-07-03,Iran,Switzerland,2,2,WC Qualifier
2023-07-04,Turkey,Germany,0,1,Friendly
2023-07-05,United States,Poland,5,4,Continental Cup
2023-07-06,Spain,Saudi Arabia,3,2,Nations League
2023-07-06,Algeria,Peru,1,2,Friendly
2023-07-07,Switzerland,Serbia,1,2,Nations League
2023-07-08,Uruguay,Panama,2,0,Friendly
2023-07-09,Colombia,Jordan,1,0,Continental Cup
2023-07-10,South Korea,Croatia,2,2,Friendly
2023-07-11,Scotland,Jamaica,3,4,Nations League
2023-07-12,Turkey,Uzbekistan,2,1,Nations League
2023-07-13,Egypt,Argentina,1,2,WC Qualifier
2023-07-14,Senegal,England,0,3,Continental Cup
2023-07-15,New Zealand,Serbia,4,5,Friendly
2023-07-15,Iran,Nigeria,2,2,Nations League
2023-07-16,Jamaica,Germany,1,2,WC Qualifier
2023-07-17,Canada,Iran,2,1,Continental Cup
2023-07-18,Germany,Portugal,1,1,Continental Cup
2023-07-19,Brazil,Serbia,2,1,WC Qualifier
2023-07-20,Jordan,Uruguay,0,3,WC Qualifier
2023-07-21,Argentina,Ukraine,2,3,Continental Cup
2023-07-22,Iran,Ecuador,0,1,WC Qualifier
2023-07-23,Iran,Senegal,2,1,Friendly
2023-07-24,Panama,France,1,2,Friendly
2023-07-24,Japan,Belgium,0,1,Nations League
2023-07-25,Netherlands,Turkey,2,1,Friendly
2023-07-26,Uzbekistan,Croatia,0,1,Friendly
2023-07-27,Nigeria,Argentina,1,2,Nations League
2023-07-28,Jordan,Portugal,6,5,Friendly
2023-07-29,New Zealand,Costa Rica,2,1,Friendly
2023-07-30,Croatia,Poland,1,1,WC Qualifier
2023-07-31,Colombia,Spain,1,3,Continental Cup
2023-08-01,Mexico,Cape Verde,2,1,Continental Cup
2023-08-02,Poland,France,2,2,Friendly
2023-08-03,Ecuador,Algeria,3,1,Nations League
2023-08-03,Tunisia,Wales,1,2,Nations League
2023-08-04,Canada,Austria,1,2,Continental Cup
2023-08-05,Chile,Netherlands,0,0,Continental Cup
2023-08-06,Italy,Turkey,1,0,Nations League
2023-08-07,Italy,Ecuador,2,1,Friendly
2023-08-08,Netherlands,Colombia,4,3,Continental Cup
2023-08-09,Nigeria,Scotland,0,2,Friendly
2023-08-10,Jordan,Ecuador,2,1,Continental Cup
2023-08-11,Serbia,Brazil,0,0,Friendly
2023-08-12,Japan,Serbia,1,1,WC Qualifier
2023-08-12,Uzbekistan,Netherlands,0,0,Continental Cup
2023-08-13,Costa Rica,Chile,0,1,Continental Cup
2023-08-14,Canada,Colombia,2,1,WC Qualifier
2023-08-15,Curacao,United States,1,2,Friendly
2023-08-16,Uruguay,Canada,1,2,WC Qualifier
2023-08-17,Italy,Serbia,1,0,Friendly
2023-08-18,Egypt,Australia,0,1,Friendly
2023-08-19,Uzbekistan,Cape Verde,4,3,Friendly
2023-08-20,Morocco,Serbia,3,1,WC Qualifier
2023-08-21,Croatia,France,0,1,Nations League
2023-08-21,Scotland,Poland,3,2,WC Qualifier
2023-08-22,Croatia,Turkey,4,0,WC Qualifier
2023-08-23,Argentina,Netherlands,1,1,WC Qualifier
2023-08-24,United States,Tunisia,3,4,WC Qualifier
2023-08-25,Costa Rica,Panama,2,1,WC Qualifier
2023-08-26,Saudi Arabia,United States,1,5,WC Qualifier
2023-08-27,Switzerland,Austria,1,2,Nations League
2023-08-28,New Zealand,Ecuador,2,3,Nations League
2023-08-29,Uruguay,Portugal,1,2,Continental Cup
2023-08-30,Argentina,Croatia,3,2,WC Qualifier
2023-08-30,Italy,Cape Verde,2,1,Nations League
2023-08-31,Cape Verde,Belgium,0,1,Friendly
2023-09-01,Brazil,Wales,2,1,Nations League
2023-09-02,Portugal,Mexico,3,2,WC Qualifier
2023-09-03,Tunisia,Netherlands,2,3,Friendly
2023-09-04,Cape Verde,Australia,2,3,WC Qualifier
2023-09-05,Senegal,Uruguay,1,0,WC Qualifier
2023-09-06,Algeria,Cape Verde,3,2,Nations League
2023-09-07,Chile,Uzbekistan,3,2,WC Qualifier
2023-09-08,Canada,Portugal,1,2,Continental Cup
2023-09-09,Tunisia,Cape Verde,5,1,Friendly
2023-09-09,Canada,Egypt,3,1,Friendly
2023-09-10,Nigeria,Colombia,2,2,WC Qualifier
2023-09-11,Colombia,New Zealand,1,0,Continental Cup
2023-09-12,Brazil,Qatar,2,1,Friendly
2023-09-13,Spain,Peru,1,0,Friendly
2023-09-14,Argentina,Egypt,1,0,WC Qualifier
2023-09-15,Scotland,Nigeria,2,1,WC Qualifier
2023-09-16,Netherlands,Serbia,2,0,Friendly
2023-09-17,Brazil,United States,2,1,WC Qualifier
2023-09-18,Belgium,United States,1,0,Continental Cup
2023-09-18,Cape Verde,Algeria,1,4,WC Qualifier
2023-09-19,Belgium,Cape Verde,2,1,Nations League
2023-09-20,Costa Rica,Ecuador,5,4,Nations League
2023-09-21,Qatar,Uruguay,2,3,WC Qualifier
2023-09-22,Germany,Denmark,2,1,Continental Cup
2023-09-23,Algeria,Costa Rica,2,1,Friendly
2023-09-24,Qatar,Cape Verde,2,0,WC Qualifier
2023-09-25,France,Chile,2,1,Nations League
2023-09-26,Scotland,United States,2,2,Friendly
2023-09-27,Curacao,Australia,2,2,Continental Cup
2023-09-27,Brazil,Japan,4,3,Friendly
2023-09-28,Nigeria,Serbia,1,2,Continental Cup
2023-09-29,Jamaica,Curacao,2,3,WC Qualifier
2023-09-30,Nigeria,Panama,3,2,WC Qualifier
2023-10-01,Senegal,Wales,2,3,Friendly
2023-10-02,England,Ecuador,2,1,Friendly
2023-10-03,South Korea,Egypt,3,4,WC Qualifier
2023-10-04,Turkey,Colombia,1,2,WC Qualifier
2023-10-05,France,England,3,2,Continental Cup
2023-10-06,Peru,Brazil,0,2,Continental Cup
2023-10-07,Spain,Scotland,4,4,Friendly
2023-10-07,United States,Italy,2,2,Friendly
2023-10-08,Qatar,Saudi Arabia,1,2,WC Qualifier
2023-10-09,Ecuador,South Korea,0,1,Nations League
2023-10-10,Scotland,Cape Verde,4,3,WC Qualifier
2023-10-11,South Korea,France,0,1,Nations League
2023-10-12,England,Ecuador,4,3,Continental Cup
2023-10-13,Cape Verde,Senegal,2,3,WC Qualifier
2023-10-14,Serbia,Mexico,1,1,Continental Cup
2023-10-15,Scotland,Curacao,3,4,Continental Cup
2023-10-16,Costa Rica,Qatar,2,3,Friendly
2023-10-16,Qatar,Poland,1,1,Friendly
2023-10-17,Denmark,Switzerland,3,0,WC Qualifier
2023-10-18,Netherlands,Brazil,2,2,Continental Cup
2023-10-19,Cape Verde,Mexico,2,1,WC Qualifier
2023-10-20,Canada,Nigeria,2,3,Nations League
2023-10-21,Uruguay,Turkey,3,1,Friendly
2023-10-22,Peru,Egypt,1,0,Friendly
2023-10-23,Croatia,South Korea,2,1,WC Qualifier
2023-10-24,Uzbekistan,Belgium,0,1,Continental Cup
2023-10-25,Egypt,Switzerland,2,3,Friendly
2023-10-25,England,Canada,3,1,Friendly
2023-10-26,Denmark,Chile,1,0,Friendly
2023-10-27,Turkey,Netherlands,0,1,Nations League
2023-10-28,Switzerland,Peru,3,1,Continental Cup
2023-10-29,Uzbekistan,Mexico,3,2,WC Qualifier
2023-10-30,Croatia,Costa Rica,2,1,Friendly
2023-10-31,Turkey,Egypt,0,7,WC Qualifier
2023-11-01,Egypt,Belgium,0,1,Nations League
2023-11-02,Uruguay,Tunisia,3,2,Friendly
2023-11-03,Morocco,Croatia,1,1,Nations League
2023-11-04,Iran,Peru,3,4,WC Qualifier
2023-11-04,Ukraine,Japan,2,1,Friendly
2023-11-05,Iran,Brazil,0,2,Friendly
2023-11-06,Morocco,South Korea,4,3,WC Qualifier
2023-11-07,United States,Cape Verde,2,1,Friendly
2023-11-08,France,Ecuador,1,0,Nations League
2023-11-09,Uzbekistan,Egypt,2,1,Continental Cup
2023-11-10,Austria,Wales,4,5,Nations League
2023-11-11,New Zealand,Costa Rica,1,0,WC Qualifier
2023-11-12,Chile,Saudi Arabia,1,2,Nations League
2023-11-13,Italy,Jamaica,2,0,Friendly
2023-11-13,Saudi Arabia,Switzerland,2,2,Nations League
2023-11-14,France,Italy,2,1,WC Qualifier
2023-11-15,Uruguay,England,3,1,Friendly
2023-11-16,Spain,Canada,3,0,WC Qualifier
2023-11-17,Colombia,England,3,4,Friendly
2023-11-18,Mexico,Belgium,1,2,Nations League
2023-11-19,Wales,Netherlands,1,2,Friendly
2023-11-20,Ukraine,Uruguay,2,2,Friendly
2023-11-21,Iran,Egypt,1,0,Continental Cup
2023-11-22,Panama,Nigeria,2,2,Continental Cup
2023-11-22,Iran,Nigeria,2,1,Nations League
2023-11-23,Qatar,Germany,0,2,Nations League
2023-11-24,South Korea,Spain,1,2,WC Qualifier
2023-11-25,Jordan,England,0,2,Friendly
2023-11-26,Poland,Senegal,0,0,Nations League
2023-11-27,Curacao,Scotland,1,2,Continental Cup
2023-11-28,Argentina,England,1,2,Friendly
2023-11-29,Germany,Netherlands,0,2,WC Qualifier
2023-11-30,New Zealand,Algeria,1,2,WC Qualifier
2023-12-01,Serbia,Switzerland,2,1,Nations League
2023-12-02,Uruguay,Denmark,3,2,Nations League
2023-12-02,Panama,Costa Rica,6,6,Friendly
2023-12-03,Serbia,Peru,0,0,WC Qualifier
2023-12-04,Wales,Spain,2,1,Nations League
2023-12-05,Canada,Panama,1,2,WC Qualifier
2023-12-06,Tunisia,Canada,4,3,Friendly
2023-12-07,New Zealand,United States,2,2,Nations League
2023-12-08,Poland,Italy,1,2,WC Qualifier
2023-12-09,Morocco,Tunisia,4,3,Continental Cup
2023-12-10,Netherlands,Poland,2,1,WC Qualifier
2023-12-11,Australia,Morocco,4,3,Nations League
2023-12-11,England,Brazil,2,2,Continental Cup
2023-12-12,Colombia,Belgium,0,0,Continental Cup
2023-12-13,Austria,Belgium,2,3,WC Qualifier
2023-12-14,Peru,Netherlands,2,3,Friendly
2023-12-15,Portugal,Switzerland,3,2,Continental Cup
2023-12-16,Brazil,Portugal,1,2,Nations League
2023-12-17,Croatia,Germany,2,0,Friendly
2023-12-18,Saudi Arabia,Morocco,0,1,Continental Cup
2023-12-19,Uruguay,Saudi Arabia,1,2,Friendly
2023-12-20,Germany,Jordan,3,3,Friendly
2023-12-20,Canada,Scotland,3,4,Friendly
2023-12-21,Serbia,Croatia,3,4,WC Qualifier
2023-12-22,Nigeria,Algeria,3,1,Friendly
2023-12-23,Portugal,Denmark,2,1,Friendly
2023-12-24,Wales,Netherlands,0,2,WC Qualifier
2023-12-25,United States,Spain,0,1,WC Qualifier
2023-12-26,Colombia,Serbia,1,0,WC Qualifier
2023-12-27,Egypt,Italy,1,2,WC Qualifier
2023-12-28,Qatar,Uzbekistan,4,3,WC Qualifier
2023-12-29,Uzbekistan,Senegal,0,4,Friendly
2023-12-29,Belgium,Poland,3,2,Friendly
2023-12-30,Colombia,Argentina,0,3,Nations League
2023-12-31,United States,South Korea,3,2,Continental Cup
2024-01-01,Argentina,Japan,5,0,Friendly
2024-01-02,Serbia,Japan,3,2,Friendly
2024-01-03,Algeria,Mexico,3,2,Nations League
2024-01-04,Mexico,Wales,4,3,Continental Cup
2024-01-05,Croatia,Switzerland,1,1,WC Qualifier
2024-01-06,Portugal,Italy,1,0,Friendly
2024-01-07,Brazil,Saudi Arabia,2,0,WC Qualifier
2024-01-08,Mexico,Jamaica,2,0,Continental Cup
2024-01-08,Ecuador,Cape Verde,3,1,Friendly
2024-01-09,Qatar,Scotland,2,1,Continental Cup
2024-01-10,South Korea,Poland,3,3,Nations League
2024-01-11,Portugal,Costa Rica,1,1,WC Qualifier
2024-01-12,France,Senegal,2,2,Continental Cup
2024-01-13,Australia,Algeria,1,2,Continental Cup
2024-01-14,Netherlands,Argentina,0,0,Continental Cup
2024-01-15,Jamaica,Mexico,1,1,WC Qualifier
2024-01-16,Curacao,South Korea,0,1,WC Qualifier
2024-01-17,Denmark,Jamaica,1,0,Friendly
2024-01-17,Canada,Tunisia,3,2,WC Qualifier
2024-01-18,Nigeria,Denmark,6,6,WC Qualifier
2024-01-19,Jordan,Ecuador,2,3,Continental Cup
2024-01-20,Canada,Austria,4,3,Friendly
2024-01-21,Ecuador,Panama,0,1,Friendly
2024-01-22,Tunisia,Cape Verde,0,2,WC Qualifier
